Script Execution Time: 45.78 seconds | Mappers: 9 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 19:24:52
Script Execution Time: 43.35 seconds | Mappers: 9 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 19:25:38
Script Execution Time: 46.54 seconds | Mappers: 9 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 19:26:27
Script Execution Time: 64.32 seconds | Mappers: 10 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 19:27:33
Script Execution Time: 55.31 seconds | Mappers: 10 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 19:28:31
Script Execution Time: 43.38 seconds | Mappers: 10 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 19:29:17
Script Execution Time: 43.18 seconds | Mappers: 10 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 19:30:02
Script Execution Time: 39.23 seconds | Mappers: 10 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 19:30:44
Script Execution Time: 39.49 seconds | Mappers: 10 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 19:31:26
Script Execution Time: 39.45 seconds | Mappers: 10 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 19:32:08
Script Execution Time: 39.44 seconds | Mappers: 10 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 19:32:49
Script Execution Time: 40.37 seconds | Mappers: 10 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 19:33:32
Script Execution Time: 41.25 seconds | Mappers: 10 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 19:34:16
Script Execution Time: 41.53 seconds | Mappers: 10 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 19:35:00
Script Execution Time: 43.28 seconds | Mappers: 10 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 19:35:45
Script Execution Time: 40.49 seconds | Mappers: 10 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 19:36:28
Script Execution Time: 41.46 seconds | Mappers: 10 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 19:37:12
Script Execution Time: 39.25 seconds | Mappers: 10 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 19:37:54
Script Execution Time: 44.45 seconds | Mappers: 10 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 19:38:41
Script Execution Time: 44.37 seconds | Mappers: 10 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 19:39:27
Script Execution Time: 43.50 seconds | Mappers: 10 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 19:40:13
Script Execution Time: 43.37 seconds | Mappers: 10 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 19:40:59
Script Execution Time: 45.51 seconds | Mappers: 10 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 19:41:47
Script Execution Time: 64.42 seconds | Mappers: 11 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 19:42:54
Script Execution Time: 50.57 seconds | Mappers: 11 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 19:43:47
