Script Execution Time: 45.23 seconds | Mappers: 6 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 12:33:43
Script Execution Time: 48.59 seconds | Mappers: 6 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 12:34:34
Script Execution Time: 48.52 seconds | Mappers: 6 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 12:35:25
Script Execution Time: 45.24 seconds | Mappers: 6 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 12:36:12
Script Execution Time: 46.52 seconds | Mappers: 6 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 12:37:01
Script Execution Time: 45.17 seconds | Mappers: 6 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 12:37:49
Script Execution Time: 47.29 seconds | Mappers: 6 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 12:38:38
Script Execution Time: 49.28 seconds | Mappers: 6 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 12:39:30
Script Execution Time: 47.51 seconds | Mappers: 6 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 12:40:20
Script Execution Time: 49.26 seconds | Mappers: 6 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 12:41:11
Script Execution Time: 48.48 seconds | Mappers: 6 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 12:42:02
Script Execution Time: 68.32 seconds | Mappers: 7 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 12:43:13
Script Execution Time: 54.45 seconds | Mappers: 7 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 12:44:10
Script Execution Time: 48.33 seconds | Mappers: 7 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 12:45:01
Script Execution Time: 46.42 seconds | Mappers: 7 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 12:45:49
Script Execution Time: 42.65 seconds | Mappers: 7 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 12:46:34
Script Execution Time: 41.36 seconds | Mappers: 7 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 12:47:18
Script Execution Time: 42.38 seconds | Mappers: 7 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 12:48:03
Script Execution Time: 45.15 seconds | Mappers: 7 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 12:48:51
Script Execution Time: 43.55 seconds | Mappers: 7 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 12:49:37
Script Execution Time: 45.30 seconds | Mappers: 7 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 12:50:24
Script Execution Time: 45.53 seconds | Mappers: 7 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 12:51:12
Script Execution Time: 46.28 seconds | Mappers: 7 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 12:52:01
Script Execution Time: 45.48 seconds | Mappers: 7 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 12:52:49
Script Execution Time: 45.48 seconds | Mappers: 7 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 12:53:36
Script Execution Time: 44.48 seconds | Mappers: 7 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 12:54:23
Script Execution Time: 43.31 seconds | Mappers: 7 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 12:55:09
Script Execution Time: 47.36 seconds | Mappers: 7 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 12:55:59
Script Execution Time: 46.30 seconds | Mappers: 7 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 12:56:47
Script Execution Time: 46.40 seconds | Mappers: 7 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 12:57:36
Script Execution Time: 45.47 seconds | Mappers: 7 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 12:58:24
Script Execution Time: 67.51 seconds | Mappers: 8 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 12:59:34
Script Execution Time: 54.53 seconds | Mappers: 8 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 13:00:31
Script Execution Time: 44.16 seconds | Mappers: 8 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 13:01:17
Script Execution Time: 45.27 seconds | Mappers: 8 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 13:02:05
Script Execution Time: 41.38 seconds | Mappers: 8 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 13:02:49
Script Execution Time: 42.35 seconds | Mappers: 8 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 13:03:33
Script Execution Time: 42.31 seconds | Mappers: 8 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 13:04:18
Script Execution Time: 41.42 seconds | Mappers: 8 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 13:05:02
Script Execution Time: 42.39 seconds | Mappers: 8 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 13:05:47
Script Execution Time: 42.34 seconds | Mappers: 8 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 13:06:31
Script Execution Time: 44.52 seconds | Mappers: 8 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 13:07:18
Script Execution Time: 45.26 seconds | Mappers: 8 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 13:08:06
Script Execution Time: 42.36 seconds | Mappers: 8 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 13:08:51
Script Execution Time: 44.45 seconds | Mappers: 8 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 13:09:37
Script Execution Time: 43.46 seconds | Mappers: 8 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 13:10:23
Script Execution Time: 42.29 seconds | Mappers: 8 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 13:11:08
Script Execution Time: 46.62 seconds | Mappers: 8 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 13:11:57
Script Execution Time: 44.42 seconds | Mappers: 8 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 13:12:44
Script Execution Time: 45.42 seconds | Mappers: 8 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 13:13:31
Script Execution Time: 46.29 seconds | Mappers: 8 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 13:14:20
Script Execution Time: 66.76 seconds | Mappers: 9 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 13:15:29
