Script Execution Time: 221.21 seconds | Mappers: 5 | Reducers: 3 | Combiner Used: No | Input File: 1000x | Current Time: 14:19:31
Script Execution Time: 221.13 seconds | Mappers: 5 | Reducers: 4 | Combiner Used: No | Input File: 1000x | Current Time: 14:23:15
Script Execution Time: 172.84 seconds | Mappers: 5 | Reducers: 5 | Combiner Used: No | Input File: 1000x | Current Time: 14:26:10
Script Execution Time: 176.93 seconds | Mappers: 5 | Reducers: 6 | Combiner Used: No | Input File: 1000x | Current Time: 14:29:10
Script Execution Time: 163.85 seconds | Mappers: 5 | Reducers: 7 | Combiner Used: No | Input File: 1000x | Current Time: 14:31:56
Script Execution Time: 178.88 seconds | Mappers: 5 | Reducers: 8 | Combiner Used: No | Input File: 1000x | Current Time: 14:34:57
Script Execution Time: 156.90 seconds | Mappers: 5 | Reducers: 9 | Combiner Used: No | Input File: 1000x | Current Time: 14:37:37
Script Execution Time: 160.86 seconds | Mappers: 5 | Reducers: 10 | Combiner Used: No | Input File: 1000x | Current Time: 14:40:20
Script Execution Time: 173.20 seconds | Mappers: 5 | Reducers: 11 | Combiner Used: No | Input File: 1000x | Current Time: 14:43:15
Script Execution Time: 181.74 seconds | Mappers: 5 | Reducers: 12 | Combiner Used: No | Input File: 1000x | Current Time: 14:46:20
Script Execution Time: 147.02 seconds | Mappers: 5 | Reducers: 13 | Combiner Used: No | Input File: 1000x | Current Time: 14:48:49
Script Execution Time: 162.99 seconds | Mappers: 5 | Reducers: 14 | Combiner Used: No | Input File: 1000x | Current Time: 14:51:34
Script Execution Time: 151.89 seconds | Mappers: 5 | Reducers: 15 | Combiner Used: No | Input File: 1000x | Current Time: 14:54:09
Script Execution Time: 157.39 seconds | Mappers: 5 | Reducers: 16 | Combiner Used: No | Input File: 1000x | Current Time: 10:14:34
Script Execution Time: 161.72 seconds | Mappers: 5 | Reducers: 17 | Combiner Used: No | Input File: 1000x | Current Time: 10:17:18
Script Execution Time: 154.95 seconds | Mappers: 5 | Reducers: 18 | Combiner Used: No | Input File: 1000x | Current Time: 15:01:17
Script Execution Time: 150.64 seconds | Mappers: 5 | Reducers: 19 | Combiner Used: No | Input File: 1000x | Current Time: 15:03:50
Script Execution Time: 162.96 seconds | Mappers: 5 | Reducers: 20 | Combiner Used: No | Input File: 1000x | Current Time: 15:06:36
Script Execution Time: 407.66 seconds | Mappers: 6 | Reducers: 1 | Combiner Used: No | Input File: 1000x | Current Time: 15:13:26
Script Execution Time: 294.48 seconds | Mappers: 6 | Reducers: 2 | Combiner Used: No | Input File: 1000x | Current Time: 15:18:22
Script Execution Time: 213.20 seconds | Mappers: 6 | Reducers: 3 | Combiner Used: No | Input File: 1000x | Current Time: 15:21:58
Script Execution Time: 218.19 seconds | Mappers: 6 | Reducers: 4 | Combiner Used: No | Input File: 1000x | Current Time: 15:25:39
Script Execution Time: 172.02 seconds | Mappers: 6 | Reducers: 5 | Combiner Used: No | Input File: 1000x | Current Time: 15:28:33
Script Execution Time: 181.73 seconds | Mappers: 6 | Reducers: 6 | Combiner Used: No | Input File: 1000x | Current Time: 15:31:37
Script Execution Time: 167.87 seconds | Mappers: 6 | Reducers: 7 | Combiner Used: No | Input File: 1000x | Current Time: 15:34:27
Script Execution Time: 181.71 seconds | Mappers: 6 | Reducers: 8 | Combiner Used: No | Input File: 1000x | Current Time: 15:37:31
Script Execution Time: 157.89 seconds | Mappers: 6 | Reducers: 9 | Combiner Used: No | Input File: 1000x | Current Time: 15:40:12
Script Execution Time: 159.93 seconds | Mappers: 6 | Reducers: 10 | Combiner Used: No | Input File: 1000x | Current Time: 15:42:54
Script Execution Time: 173.96 seconds | Mappers: 6 | Reducers: 11 | Combiner Used: No | Input File: 1000x | Current Time: 15:45:50
Script Execution Time: 180.08 seconds | Mappers: 6 | Reducers: 12 | Combiner Used: No | Input File: 1000x | Current Time: 15:48:53
Script Execution Time: 146.84 seconds | Mappers: 6 | Reducers: 13 | Combiner Used: No | Input File: 1000x | Current Time: 15:51:22
Script Execution Time: 161.96 seconds | Mappers: 6 | Reducers: 14 | Combiner Used: No | Input File: 1000x | Current Time: 15:54:06
Script Execution Time: 152.91 seconds | Mappers: 6 | Reducers: 15 | Combiner Used: No | Input File: 1000x | Current Time: 15:56:42
Script Execution Time: 159.91 seconds | Mappers: 6 | Reducers: 16 | Combiner Used: No | Input File: 1000x | Current Time: 15:59:24
Script Execution Time: 163.94 seconds | Mappers: 6 | Reducers: 17 | Combiner Used: No | Input File: 1000x | Current Time: 16:02:10
Script Execution Time: 155.93 seconds | Mappers: 6 | Reducers: 18 | Combiner Used: No | Input File: 1000x | Current Time: 16:04:48
Script Execution Time: 150.74 seconds | Mappers: 6 | Reducers: 19 | Combiner Used: No | Input File: 1000x | Current Time: 16:07:21
Script Execution Time: 160.01 seconds | Mappers: 6 | Reducers: 20 | Combiner Used: No | Input File: 1000x | Current Time: 16:10:04
Script Execution Time: 416.67 seconds | Mappers: 7 | Reducers: 1 | Combiner Used: No | Input File: 1000x | Current Time: 16:17:03
Script Execution Time: 290.29 seconds | Mappers: 7 | Reducers: 2 | Combiner Used: No | Input File: 1000x | Current Time: 16:21:56
Script Execution Time: 212.37 seconds | Mappers: 7 | Reducers: 3 | Combiner Used: No | Input File: 1000x | Current Time: 16:25:30
Script Execution Time: 217.28 seconds | Mappers: 7 | Reducers: 4 | Combiner Used: No | Input File: 1000x | Current Time: 16:29:10
Script Execution Time: 176.82 seconds | Mappers: 7 | Reducers: 5 | Combiner Used: No | Input File: 1000x | Current Time: 16:32:09
Script Execution Time: 175.73 seconds | Mappers: 7 | Reducers: 6 | Combiner Used: No | Input File: 1000x | Current Time: 16:35:07
Script Execution Time: 164.71 seconds | Mappers: 7 | Reducers: 7 | Combiner Used: No | Input File: 1000x | Current Time: 16:37:54
Script Execution Time: 178.00 seconds | Mappers: 7 | Reducers: 8 | Combiner Used: No | Input File: 1000x | Current Time: 16:40:55
Script Execution Time: 154.10 seconds | Mappers: 7 | Reducers: 9 | Combiner Used: No | Input File: 1000x | Current Time: 16:43:31
Script Execution Time: 160.88 seconds | Mappers: 7 | Reducers: 10 | Combiner Used: No | Input File: 1000x | Current Time: 16:46:14
Script Execution Time: 174.06 seconds | Mappers: 7 | Reducers: 11 | Combiner Used: No | Input File: 1000x | Current Time: 16:49:11
Script Execution Time: 181.14 seconds | Mappers: 7 | Reducers: 12 | Combiner Used: No | Input File: 1000x | Current Time: 16:52:14
Script Execution Time: 145.91 seconds | Mappers: 7 | Reducers: 13 | Combiner Used: No | Input File: 1000x | Current Time: 16:54:42
Script Execution Time: 161.76 seconds | Mappers: 7 | Reducers: 14 | Combiner Used: No | Input File: 1000x | Current Time: 16:57:26
Script Execution Time: 152.90 seconds | Mappers: 7 | Reducers: 15 | Combiner Used: No | Input File: 1000x | Current Time: 17:00:02
Script Execution Time: 153.75 seconds | Mappers: 7 | Reducers: 16 | Combiner Used: No | Input File: 1000x | Current Time: 17:02:38
Script Execution Time: 160.03 seconds | Mappers: 7 | Reducers: 17 | Combiner Used: No | Input File: 1000x | Current Time: 17:05:20
Script Execution Time: 156.90 seconds | Mappers: 7 | Reducers: 18 | Combiner Used: No | Input File: 1000x | Current Time: 17:07:59
Script Execution Time: 152.95 seconds | Mappers: 7 | Reducers: 19 | Combiner Used: No | Input File: 1000x | Current Time: 17:10:35
Script Execution Time: 164.00 seconds | Mappers: 7 | Reducers: 20 | Combiner Used: No | Input File: 1000x | Current Time: 17:13:21
Script Execution Time: 408.62 seconds | Mappers: 8 | Reducers: 1 | Combiner Used: No | Input File: 1000x | Current Time: 17:20:12
Script Execution Time: 295.14 seconds | Mappers: 8 | Reducers: 2 | Combiner Used: No | Input File: 1000x | Current Time: 17:25:10
Script Execution Time: 216.38 seconds | Mappers: 8 | Reducers: 3 | Combiner Used: No | Input File: 1000x | Current Time: 17:28:49
Script Execution Time: 216.20 seconds | Mappers: 8 | Reducers: 4 | Combiner Used: No | Input File: 1000x | Current Time: 17:32:27
Script Execution Time: 170.87 seconds | Mappers: 8 | Reducers: 5 | Combiner Used: No | Input File: 1000x | Current Time: 17:35:21
Script Execution Time: 181.02 seconds | Mappers: 8 | Reducers: 6 | Combiner Used: No | Input File: 1000x | Current Time: 17:38:24
Script Execution Time: 164.95 seconds | Mappers: 8 | Reducers: 7 | Combiner Used: No | Input File: 1000x | Current Time: 17:41:11
Script Execution Time: 177.13 seconds | Mappers: 8 | Reducers: 8 | Combiner Used: No | Input File: 1000x | Current Time: 17:44:11
Script Execution Time: 155.87 seconds | Mappers: 8 | Reducers: 9 | Combiner Used: No | Input File: 1000x | Current Time: 17:46:49
Script Execution Time: 159.96 seconds | Mappers: 8 | Reducers: 10 | Combiner Used: No | Input File: 1000x | Current Time: 17:49:31
Script Execution Time: 172.81 seconds | Mappers: 8 | Reducers: 11 | Combiner Used: No | Input File: 1000x | Current Time: 17:52:26
Script Execution Time: 185.85 seconds | Mappers: 8 | Reducers: 12 | Combiner Used: No | Input File: 1000x | Current Time: 17:55:35
Script Execution Time: 147.98 seconds | Mappers: 8 | Reducers: 13 | Combiner Used: No | Input File: 1000x | Current Time: 17:58:05
Script Execution Time: 162.94 seconds | Mappers: 8 | Reducers: 14 | Combiner Used: No | Input File: 1000x | Current Time: 18:00:50
Script Execution Time: 152.06 seconds | Mappers: 8 | Reducers: 15 | Combiner Used: No | Input File: 1000x | Current Time: 18:03:25
Script Execution Time: 159.87 seconds | Mappers: 8 | Reducers: 16 | Combiner Used: No | Input File: 1000x | Current Time: 18:06:07
Script Execution Time: 160.94 seconds | Mappers: 8 | Reducers: 17 | Combiner Used: No | Input File: 1000x | Current Time: 18:08:50
Script Execution Time: 152.76 seconds | Mappers: 8 | Reducers: 18 | Combiner Used: No | Input File: 1000x | Current Time: 18:11:25
Script Execution Time: 150.71 seconds | Mappers: 8 | Reducers: 19 | Combiner Used: No | Input File: 1000x | Current Time: 18:13:58
Script Execution Time: 159.88 seconds | Mappers: 8 | Reducers: 20 | Combiner Used: No | Input File: 1000x | Current Time: 18:16:41
Script Execution Time: 407.54 seconds | Mappers: 9 | Reducers: 1 | Combiner Used: No | Input File: 1000x | Current Time: 18:23:31
Script Execution Time: 294.33 seconds | Mappers: 9 | Reducers: 2 | Combiner Used: No | Input File: 1000x | Current Time: 18:28:27
Script Execution Time: 223.24 seconds | Mappers: 9 | Reducers: 3 | Combiner Used: No | Input File: 1000x | Current Time: 18:32:13
Script Execution Time: 214.15 seconds | Mappers: 9 | Reducers: 4 | Combiner Used: No | Input File: 1000x | Current Time: 18:35:50
Script Execution Time: 172.86 seconds | Mappers: 9 | Reducers: 5 | Combiner Used: No | Input File: 1000x | Current Time: 18:38:45
Script Execution Time: 176.97 seconds | Mappers: 9 | Reducers: 6 | Combiner Used: No | Input File: 1000x | Current Time: 18:41:44
Script Execution Time: 165.75 seconds | Mappers: 9 | Reducers: 7 | Combiner Used: No | Input File: 1000x | Current Time: 18:44:32
Script Execution Time: 184.01 seconds | Mappers: 9 | Reducers: 8 | Combiner Used: No | Input File: 1000x | Current Time: 18:47:39
Script Execution Time: 157.88 seconds | Mappers: 9 | Reducers: 9 | Combiner Used: No | Input File: 1000x | Current Time: 18:50:19
Script Execution Time: 159.82 seconds | Mappers: 9 | Reducers: 10 | Combiner Used: No | Input File: 1000x | Current Time: 18:53:01
Script Execution Time: 171.87 seconds | Mappers: 9 | Reducers: 11 | Combiner Used: No | Input File: 1000x | Current Time: 18:55:55
Script Execution Time: 181.76 seconds | Mappers: 9 | Reducers: 12 | Combiner Used: No | Input File: 1000x | Current Time: 18:58:59
Script Execution Time: 149.94 seconds | Mappers: 9 | Reducers: 13 | Combiner Used: No | Input File: 1000x | Current Time: 19:01:32
Script Execution Time: 164.99 seconds | Mappers: 9 | Reducers: 14 | Combiner Used: No | Input File: 1000x | Current Time: 19:04:19
Script Execution Time: 153.00 seconds | Mappers: 9 | Reducers: 15 | Combiner Used: No | Input File: 1000x | Current Time: 19:06:54
Script Execution Time: 158.76 seconds | Mappers: 9 | Reducers: 16 | Combiner Used: No | Input File: 1000x | Current Time: 19:09:35
